speedinterval,approach,count,LocationId,LocationName
15-19 mph,NB,2810.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
20-24 mph,NB,8557.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
25+ mph,NB,29966.0,6786b397a925f091b9aa868c,Hwy 267 at Brockway Summit 
00-04 mph,WB,1087.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,EB,2.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
05-09 mph,WB,2036.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,EB,9.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
10-14 mph,WB,2831.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,EB,50.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
15-19 mph,WB,3864.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,EB,100.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
20-24 mph,WB,4906.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,EB,85073.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
25+ mph,WB,75572.0,6786b3c30736acf4a570466a,Hwy 50 at Pioneer Trail (Meyers)
00-04 mph,EB,5505.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
00-04 mph,WB,30.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
05-09 mph,EB,24652.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
05-09 mph,WB,308.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
10-14 mph,EB,36654.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
10-14 mph,WB,1432.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
15-19 mph,EB,29391.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
15-19 mph,WB,20696.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
20-24 mph,EB,10099.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
20-24 mph,WB,42337.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
25+ mph,EB,483.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
25+ mph,WB,34408.0,6786b4451e5528fc4ee7280f,US 50/Pioneer Trail WB
00-04 mph,EB,1496.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
00-04 mph,WB,953.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
05-09 mph,EB,4654.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
05-09 mph,WB,1358.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
10-14 mph,EB,11401.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
10-14 mph,WB,1431.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
15-19 mph,EB,17269.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
15-19 mph,WB,2691.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
20-24 mph,EB,22374.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
20-24 mph,WB,13989.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
25+ mph,EB,83555.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
25+ mph,WB,114512.0,6786b4851e5528fc4ee789c3,US 50/Wildwood WB
