,TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,NEW_OCCUPANCY_RATE,FORECASTED_POPULATION,Adjusted_Persons_Per_Occupied_Unit
32,137,396.0,0.6225970186298876,254.26555874110403,116.49399636786018,53.01760988605775,84.75395248718611,2.0671942295088157,504.07821891706055,0,0,0,0,0,12.0,5.5,1.6500000000000001,0.5800000000000001,9.77,118.14399636786018,53.59760988605775,94.52395248718611,259.76555874110403,0.6366802910321178,520.9057749167504,2.0052919156842974
33,121,416.0,0.5397372774102531,224.48143492032312,126.46321604832175,61.18656665111597,36.83165222088541,2.120859656758242,474.6231601037695,0,0,0,0,0,92.0,33.8,1.3699999999999999,5.24,85.39,127.83321604832176,66.42656665111596,122.2216522208854,258.28143492032314,0.5084280214966991,531.3753945845843,2.057350326973782
34,122,0.0,0.5510791366906475,0.0,0.0,0.0,0.0,2.792648022670797,0.0,0,0,0,0,0,1.0,0.35,0.01,0.02,0.97,0.01,0.02,0.97,0.35,0.35,0.9481576758224799,2.7090219309213714
35,123,584.0,0.6001650862572881,355.11019019195123,232.38878728283748,62.98402839998743,59.73737450912632,2.6298753488009687,924.618818174664,0,0,0,0,0,26.0,10.0,4.04,2.5,19.46,236.42878728283748,65.48402839998744,79.19737450912632,365.11019019195123,0.5985412953966414,931.4411859779516,2.5511234991503806
36,204,0.0,0.1306306306306306,0.0,0.0,0.0,0.0,2.0614819949169885,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9997507344619578
37,138,694.0,0.5547537910331757,387.6625495518902,178.2091529585888,72.23089611548086,137.22250047782055,2.092787666794953,790.8511389134175,0,0,0,0,0,19.0,8.15,5.64,4.34,9.02,183.84915295858877,76.57089611548086,146.24250047782056,395.8125495518902,0.5551368156407998,803.5465595631679,2.030118955229904
38,125,284.0,0.4481546572934973,127.27592267135324,59.39543057996485,25.45518453427065,42.42530755711775,2.873888692421221,365.7768349826798,0,0,0,0,0,40.0,20.5,8.31,2.38,29.310000000000002,67.70543057996485,27.83518453427065,71.73530755711775,147.77592267135324,0.45609852676343593,411.9741270989483,2.7878298416390845
39,126,292.0,0.6312824693016833,182.9144745269287,93.43078311499272,12.05570305676856,77.42798835516739,2.4334184457871952,443.4944389115059,0,0,0,0,0,16.0,8.2,3.21,0.9800000000000001,11.81,96.64078311499271,13.035703056768561,89.23798835516739,191.1144745269287,0.6205015406718464,451.1351802405813,2.360549515452922
40,144,275.0,0.2790081521070719,76.47694524495677,19.81268011527377,9.113832853025936,47.550432276657055,2.4137930181911007,184.8378880019602,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.81268011527377,9.113832853025936,47.550432276657055,76.47694524495677,0.2780979827089337,179.07166765566902,2.341511773019959
41,203,31.0,0.1306306306306306,4.04954954954955,0.0,4.04954954954955,0.0,2.0614819949169885,8.348073483920597,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.04954954954955,0.0,4.04954954954955,0.13063063063063063,8.098089685951802,1.9997507344619578
42,153,361.0,0.2780776224258596,100.38577737233844,26.015736114278603,11.986950842783983,62.383090415275845,2.416610445394374,242.593164814158,0,0,0,0,0,5.0,1.0499999999999998,1.03,1.06,2.91,27.045736114278604,13.046950842783984,65.29309041527584,101.43577737233844,0.2771469327113072,237.7902968968476,2.344244832116731
43,139,558.0,0.4885424706406575,273.1523367711548,142.2764637810622,51.586578284879,79.28929470521358,1.9875308654597656,535.561110961649,0,0,0,0,0,8.0,3.7,2.51,3.52,1.97,144.7864637810622,55.106578284879006,81.25929470521358,276.8523367711548,0.4891384041893194,533.7752028522675,1.9280140781093869
44,127,10.0,0.5392491467576792,5.392491467576792,3.071672354948806,1.4505119453924915,0.870307167235495,2.091947246073397,11.280807675071564,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.071672354948806,1.4505119453924915,0.870307167235495,5.392491467576792,0.5392491467576792,10.943002892662587,2.0293037009811
45,145,728.0,0.2707826559102623,197.13926150146165,57.41297451951983,40.208529430058256,99.51775755188356,2.309308683676646,455.3160403472461,0,0,0,0,0,14.0,2.4499999999999997,3.56,3.62,6.82,60.97297451951983,43.82852943005825,106.33775755188356,199.58926150146164,0.26898822304779196,447.11112781973026,2.240156231132986
46,140,152.0,0.6527231051311847,99.83431952662724,55.76331360946745,41.67258382642998,2.3984220907297837,2.249178923651812,225.06934376218132,0,0,0,0,0,77.0,40.6,1.3399999999999999,21.32,54.339999999999996,57.10331360946745,62.99258382642998,56.73842209072978,140.43431952662723,0.6132503036097259,306.40339878856526,2.1818270620841314
47,135,134.0,0.4481546572934973,60.05272407732865,28.024604569420035,12.01054481546573,20.01757469244288,2.873888692421221,172.5848446749264,0,0,0,0,0,7.0,2.4499999999999997,0.07,0.14,6.79,28.094604569420035,12.15054481546573,26.80757469244288,62.50272407732865,0.44328173104488405,174.24695936651054,2.7878298416390845
48,205,0.0,0.2670959160320862,0.0,0.0,0.0,0.0,2.1094878452240566,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.046319045340606
49,206,0.0,0.1306306306306306,0.0,0.0,0.0,0.0,2.0614819949169885,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.9997507344619578
50,213,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8519859018662466
51,207,44.0,0.04428876316968,1.8306462913050288,1.1774931381518756,0.6531531531531531,0.0,1.9305348627534773,3.594481247643153,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1774931381518756,0.6531531531531531,0.0,1.8306462913050288,0.04160559752965975,3.4282967568745586,1.8727248257393287
