APN,2022_Final,2025_Final,Change,Fixed_APN,
031-332-008,,1,1,031-332-008,
032-275-008,,1,1,032-275-008,
032-279-009,,1,1,032-279-009,
032-283-019,,1,1,032-283-019,
033-292-012,,1,1,033-292-012,
033-432-013,,1,1,033-432-013,
033-465-015,,1,1,033-465-015,
033-672-007,,1,1,033-672-007,
033-781-006,,1,1,033-781-006,
033-801-007,,1,1,033-801-007,
034-171-002,,1,1,034-171-002,
034-381-007,,1,1,034-381-007,
034-382-005,,1,1,034-382-005,
034-573-005,,1,1,034-573-005,
035-144-009,,1,1,035-144-009,
036-423-001,,1,1,036-423-001,
080-111-005,,1,1,080-111-005,
080-176-001,,1,1,080-176-001,
081-141-005,,1,1,081-141-005,
090-064-015,,1,1,090-064-015,
090-153-012,,1,1,090-153-011,
090-272-017,,1,1,090-272-017,
093-271-009,,1,1,093-271-009,
098-291-007,,1,1,098-291-007,
112-280-009,,1,1,112-280-009,
117-100-088,,1,1,117-100-088,
123-131-11,,1,1,123-131-11,
124-032-02,,1,1,124-032-02,
126-082-68,,1,1,126-082-68,
1318-10-310-066,,1,1,1318-10-310-066,
1318-22-317-001,,1,1,1318-22-310-013,
1318-22-317-002,,1,1,1318-22-310-013,
1318-22-317-003,,1,1,1318-22-310-013,
1318-22-317-004,,1,1,1318-22-310-013,
1318-22-317-005,,1,1,1318-22-310-013,
1318-22-317-006,,1,1,1318-22-310-013,
1318-22-317-007,,1,1,1318-22-310-013,
1318-22-317-008,,1,1,1318-22-310-013,
1318-22-711-001,,1,1,1318-22-710-009,
1318-22-711-002,,1,1,1318-22-710-009,
1318-22-711-003,,1,1,1318-22-710-009,
1318-22-711-004,,1,1,1318-22-710-009,
1318-22-711-005,,1,1,1318-22-710-009,
1318-22-711-006,,1,1,1318-22-710-009,
1318-22-711-007,,1,1,1318-22-710-009,
1318-22-711-008,,1,1,1318-22-710-009,
1318-23-315-007,,1,1,1318-23-315-007,
1318-23-315-008,,1,1,1318-23-315-008,
1318-23-315-009,,1,1,1318-23-315-009,
1318-23-315-010,,1,1,1318-23-315-010,
1318-23-315-011,,1,1,1318-23-315-011,
1318-23-315-036,,1,1,1318-23-315-036,
1318-23-315-038,,1,1,1318-23-315-038,
1318-23-315-039,,1,1,1318-23-315-039,
1318-23-810-061,,1,1,1318-23-810-061,
1418-15-511-026,,1,1,1418-15-511-024,
1418-27-210-036,1,2,1,1418-27-210-036,
1418-34-110-047,,1,1,1418-34-110-047,
1418-34-113-006,,1,1,1418-34-113-006,
1418-34-113-007,,1,1,1418-34-113-007,
1418-34-113-008,,1,1,1418-34-113-008,
1418-34-113-009,,1,1,1418-34-113-009,
1418-34-401-014,,1,1,1418-34-401-014,
016-292-034,,1,1,016-292-034,
025-041-023,,41,41,025-041-023,
027-151-034,,1,1,027-151-034,
031-256-003,,1,1,031-256-003,
090-192-061,,1,1,090-192-061,
112-180-079,,1,1,112-180-043,
123-041-25,,2,2,123-041-25,
029-341-001,,4,4,029-341-001,
029-341-003,,4,4,029-341-003,
