,APN
1211,1319-30-619-000
1212,112-140-008
1213,032-050-034
1214,130-083-14
1215,036-475-003
1216,016-435-003
1217,080-131-011
1218,025-394-016
1219,1318-03-212-086
1220,1319-18-310-028
1221,023-601-016
1222,025-471-009
1223,080-010-013
1224,034-501-005
1225,127-300-32
1226,130-162-13
1227,083-290-018
1228,033-531-001
1229,022-251-064
1230,015-101-016
1231,034-513-014
1232,035-283-035
1233,084-092-006
1234,1318-23-811-024
1235,111-160-023
1236,128-042-13
1237,1318-10-416-025
1238,126-245-02
1239,033-643-017
1240,1319-19-310-018
1241,081-073-017
1242,031-226-010
1243,098-084-003
1244,132-570-32
1245,131-224-13
1246,081-042-022
1247,032-276-005
1248,032-390-025
1249,112-190-012
1250,023-142-011
1251,084-023-006
1252,1319-30-101-003
1253,1319-30-644-067
1254,094-330-018
1255,026-262-002
1256,1318-10-416-036
1257,124-921-04
1258,093-035-006
1259,023-733-015
1260,1319-30-643-031
1261,026-122-015
1262,116-050-026
1263,025-757-005
1264,1318-10-413-007
1265,022-301-027
1266,1318-15-812-004
1267,023-663-017
1268,083-390-050
1269,036-160-002
1270,132-044-04
1271,023-561-004
1272,015-261-003
1273,084-081-021
1274,021-331-023
1275,112-120-002
1276,111-190-003
1277,033-678-001
1278,027-381-002
1279,033-754-008
1280,031-204-011
1281,090-044-025
1282,029-480-002
1283,034-242-001
1284,028-131-017
1285,032-278-009
1286,094-320-010
1287,028-301-003
1288,131-080-01
1289,026-190-004
1290,022-061-025
1291,090-071-021
1292,131-021-17
1293,125-201-00
1294,123-163-03
1295,090-340-014
1296,098-162-003
1297,085-326-008
1298,093-104-012
1299,026-101-015
1300,097-140-016
1301,131-270-02
1302,023-681-014
1303,022-182-006
1304,015-202-008
1305,128-270-00
1306,022-342-014
1307,1318-15-611-060
1308,1318-23-216-002
1309,090-164-004
1310,127-363-04
1311,117-130-005
1312,131-180-23
1313,033-451-005
1314,093-414-027
1315,098-350-010
1316,116-070-041
1317,033-861-002
1318,018-250-003
1319,085-073-012
1320,083-350-016
1321,081-085-003
1322,1319-19-710-005
1323,080-121-026
1324,1319-19-714-013
1325,029-361-020
1326,035-162-023
1327,032-402-001
1328,111-100-007
1329,092-120-040
1330,1319-30-528-003
1331,093-620-068
1332,015-154-008
1333,015-063-019
1334,127-073-03
1335,1318-24-402-004
1336,034-232-003
1337,032-281-039
1338,112-060-023
1339,111-280-046
1340,111-130-003
1341,093-241-005
1342,126-082-44
1343,025-451-022
1344,125-172-18
1345,025-394-020
1346,031-223-003
1347,022-111-023
1348,026-078-018
1349,126-301-04
1350,1318-15-110-021
1351,036-562-012
1352,1318-03-111-038
1353,1318-23-212-050
1354,126-450-04
1355,127-362-30
1356,015-302-016
1357,025-301-017
1358,098-291-010
1359,032-321-013
1360,116-020-036
1361,016-011-004
1362,1319-30-524-003
1363,027-154-006
1364,023-102-031
1365,033-413-021
1366,034-513-016
1367,031-161-017
1368,029-373-014
1369,090-064-015
1370,094-043-015
1371,014-237-005
1372,085-111-010
1373,025-891-034
1374,1319-30-544-014
1375,032-322-009
1376,090-172-026
1377,085-111-009
1378,015-062-013
1379,093-241-004
1380,016-533-001
1381,127-075-34
1382,023-531-010
1383,084-033-013
1384,034-265-015
1385,125-503-04
1386,094-534-001
1387,022-321-016
1388,029-106-012
1389,034-095-002
1390,125-363-01
1391,032-440-006
1392,131-201-26
1393,112-120-001
1394,033-381-002
1395,022-121-002
1396,025-405-007
1397,085-322-007
1398,027-342-019
1399,034-294-002
1400,130-162-05
1401,031-095-004
1402,1418-22-512-021
1403,083-033-004
1404,018-030-004
1405,033-785-004
1406,027-357-012
1407,023-624-004
1408,033-661-009
1409,029-415-002
1410,127-073-14
1411,084-093-011
1412,025-352-020
1413,130-230-34
1414,033-712-010
1415,023-592-011
1416,132-280-07
1417,022-161-025
1418,116-040-001
1419,1318-26-511-005
1420,130-201-22
1421,034-086-002
1422,094-020-007
1423,127-076-17
1424,1418-11-412-016
1425,1319-30-516-008
1426,021-391-006
1427,090-232-006
1428,1319-30-616-015
1429,021-381-001
1430,1318-15-702-001
1431,1418-34-113-016
1432,018-030-011
1433,098-104-004
1434,034-094-003
1435,025-433-010
1436,1319-30-631-008
1437,025-271-014
1438,130-221-12
1439,1418-15-511-008
1440,111-250-011
1441,026-084-005
1442,032-241-010
1443,032-242-004
1444,1318-09-812-012
1445,094-330-022
1446,031-221-017
1447,034-551-001
1448,125-491-06
1449,1319-30-721-000
1450,125-231-18
1451,023-753-001
1452,1318-15-823-009
1453,1318-10-415-008
1454,131-012-11
1455,033-362-033
1456,1318-22-311-020
1457,129-200-03
1458,095-490-046
1459,023-141-006
1460,016-532-022
1461,131-060-09
1462,111-140-002
1463,1319-18-412-004
1464,025-591-002
1465,098-010-019
1466,026-073-023
1467,098-164-015
1468,111-250-007
1469,111-110-029
1470,097-192-004
1471,025-682-005
1472,112-240-039
1473,130-383-09
1474,022-194-002
1475,093-480-031
1476,033-421-007
1477,132-063-31
1478,081-141-010
1479,023-821-033
1480,080-071-033
1481,030-362-013
1482,031-254-008
1483,117-220-014
1484,016-532-007
1485,029-105-020
1486,124-340-31
1487,1319-18-000-003
1488,090-231-014
1489,025-743-022
1490,031-123-008
1491,023-626-001
