TAZ,ZIPCODE,emp_other,emp_rec,STATE,emp_retail,emp_srvc,emp_gaming,adjustment_factor_CBP,job_change_CBP,2018,2022,adjustment_factor_EDD,job_change_EDD,emp_other_2022,emp_rec_2022,emp_retail_2022,emp_srvc_2022,emp_gaming_2022
260,96145,150.6666667,19,CA,20.66666667,10,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,152.2182297,19.1956617,20.87949168,10.10297984,
262,96145,73,1,CA,3,9.333333333,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,73.75175285,1.010297984,3.030893953,9.429447852,
266,96145,274.3333333,,CA,4,16,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,277.1584136,,4.041191937,16.16476775,
267,96145,2.333333333,,CA,1,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,2.357361963,,1.010297984,,
268,96145,19,,CA,,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,19.1956617,,,,
269,96140,3.333333333,,CA,3.333333333,,,1.173228346,44,402.6666667,421.6666667,1.04718543,19,3.490618101,,3.490618101,,
270,96145,5,1,CA,,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,5.051489921,1.010297984,,,
271,96145,146.6666667,,CA,,,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,148.1770377,,,,
273,96145,19.66666667,,CA,,5,,1.077067669,164,3042.666667,3074,1.010297984,31.33333333,19.86919369,,,5.051489921,
274,96140,160.5,,CA,,,,1.173228346,44,402.6666667,421.6666667,1.04718543,19,168.0732616,,,,
276,96140,5,33.33333333,CA,,129.6666667,,1.173228346,44,402.6666667,421.6666667,1.04718543,19,5.235927152,34.90618101,,135.7850442,
277,96140,29,2.5,CA,5.333333333,36.66666667,,1.173228346,44,402.6666667,421.6666667,1.04718543,19,30.36837748,2.617963576,5.584988962,38.39679912,
278,96140,33,,CA,,,,1.173228346,44,402.6666667,421.6666667,1.04718543,19,34.55711921,,,,
280,96148,13,,CA,1,,,1.196774194,61,330,337.3333333,1.022222222,7.333333333,13.28888889,,1.022222222,,
281,96148,207,53,CA,27,41.33333333,,1.196774194,61,330,337.3333333,1.022222222,7.333333333,211.6,54.17777778,27.6,42.25185185,
282,96143,25,,CA,,,,1.016806723,12,1123.333333,1217.666667,1.083976261,94.33333333,27.09940653,,,,
283,96148,6.333333333,,CA,,,,1.196774194,61,330,337.3333333,1.022222222,7.333333333,6.474074074,,,,
286,96148,13.33333333,,CA,,,,1.196774194,61,330,337.3333333,1.022222222,7.333333333,13.62962963,,,,
288,96143,13.33333333,,CA,,,,1.016806723,12,1123.333333,1217.666667,1.083976261,94.33333333,14.45301681,,,,
290,96143,463.5,33,CA,97.5,372,,1.016806723,12,1123.333333,1217.666667,1.083976261,94.33333333,502.422997,35.77121662,105.6876855,403.2391691,
291,96143,14.66666667,,CA,,,,1.016806723,12,1123.333333,1217.666667,1.083976261,94.33333333,15.8983185,,,,
292,96143,8,,CA,,,,1.016806723,12,1123.333333,1217.666667,1.083976261,94.33333333,8.671810089,,,,
395,89402,179.8822259,0,CA,0,0,0,0.595307918,-138,,,,,,,,,
397,89402,0,0,CA,0,0,0,0.595307918,-138,,,,,,,,,
396,89402,1.090195309,0,CA,1.090195309,3.270585926,28.34507803,0.595307918,-138,,,,,,,,,28
343,89413,0,0,NV,0,0,0,1.285714286,18,,,,,0,0,0,0,
344,89413,0,0,NV,0,0,0,1.285714286,18,,,,,0,0,0,0,
342,89413,5.450976543,0,NV,0,0,0,1.285714286,18,,,,,7.008398412,0,0,0,
341,89413,0,0,NV,0,0,0,1.285714286,18,,,,,0,0,0,0,
339,89413,0,0,NV,0,0,0,1.285714286,18,,,,,0,0,0,0,
338,89413,4.360781235,2.180390617,NV,1.090195309,1.090195309,0,1.285714286,18,,,,,5.606718731,2.803359365,1.401679683,1.401679683,
337,89413,0,1.090195309,NV,0,1.090195309,0,1.285714286,18,,,,,0,1.401679683,0,1.401679683,
334,89413,0,0,NV,0,0,0,1.285714286,18,,,,,0,0,0,0,
328,89448,0,1.090195309,NV,1.090195309,0,0,1.267005076,263,,,,,0,1.38128299,1.38128299,0,
330,89413,0,3.270585926,NV,0,5.450976543,0,1.285714286,18,,,,,0,4.205039048,0,7.008398412,
327,89448,40.33722642,16.35292963,NV,0,22.89410148,0,1.267005076,263,,,,,51.10747063,20.71924485,0,29.00694279,
325,89448,14.17253901,0,NV,6.541171852,9.811757778,0,1.267005076,263,,,,,17.95667887,0,8.28769794,12.43154691,
326,89448,0,0,NV,0,0,0,1.267005076,263,,,,,0,0,0,0,
324,89448,20.71371086,35.97644519,NV,2.180390617,322.6978114,0,1.267005076,263,,,,,26.24437681,45.58233868,2.76256598,408.8597651,
320,89448,1.090195309,1.090195309,NV,1.090195309,1.090195309,0,1.267005076,263,,,,,1.38128299,1.38128299,1.38128299,1.38128299,
323,89448,16.35292963,7.631367161,NV,27.25488272,23.98429679,0,1.267005076,263,,,,,20.71924485,9.668980931,34.53207476,30.38822578,
319,89448,20.71371086,0,NV,0,7.631367161,0,1.267005076,263,,,,,26.24437681,0,0,9.668980931,
322,89448,26.16468741,6.541171852,NV,117.7410933,34.88624988,0,1.267005076,263,,,,,33.15079176,8.28769794,149.1785629,44.20105569,
314,89448,0,0,NV,0,0,0,1.267005076,263,,,,,0,0,0,0,
315,89449,1.090195309,0,NV,43.60781235,2.180390617,0,0.881383855,-504,,,,,0.960880544,0,38.43522176,1.921761087,
317,89448,92.66660124,0,NV,22.89410148,52.32937482,0,1.267005076,263,,,,,117.4090542,0,29.00694279,66.30158353,
318,89448,0,0,NV,0,6.541171852,0,1.267005076,263,,,,,0,0,0,8.28769794,
321,89448,11.9921484,0,NV,0,32.70585926,0,1.267005076,263,,,,,15.1941129,0,0,41.4384897,
313,89449,236.572382,2.180390617,NV,90.48621062,153.7175385,0,0.881383855,-504,,,,,208.511078,1.921761087,79.75308514,135.4841567,
