APN,Id,bonus_unit
123-211-02,0,Yes
123-211-05,0,Yes
123-221-01,0,Yes
123-231-01,0,Yes
123-231-04,0,Yes
123-231-06,0,Yes
123-231-09,0,Yes
123-250-07,0,Yes
123-250-10,0,Yes
123-260-02,0,Yes
123-260-07,0,Yes
123-260-10,0,Yes
123-260-12,0,Yes
123-271-02,0,Yes
123-271-05,0,Yes
123-271-08,0,Yes
123-271-11,0,Yes
123-271-14,0,Yes
123-271-17,0,Yes
123-272-02,0,Yes
123-272-03,0,Yes
123-272-05,0,Yes
123-272-08,0,Yes
123-272-11,0,Yes
123-272-14,0,Yes
123-272-17,0,Yes
123-272-20,0,Yes
123-273-01,0,Yes
123-273-02,0,Yes
123-273-04,0,Yes
123-274-03,0,Yes
123-274-06,0,Yes
123-281-02,0,Yes
123-281-05,0,Yes
123-281-08,0,Yes
123-282-03,0,Yes
123-282-05,0,Yes
123-282-08,0,Yes
123-293-02,0,Yes
123-293-05,0,Yes
123-294-02,0,Yes
123-294-05,0,Yes
123-295-02,0,Yes
123-295-04,0,Yes
124-020-00,0,Yes
124-020-03,0,Yes
124-031-02,0,Yes
124-031-05,0,Yes
124-031-08,0,Yes
124-031-11,0,Yes
124-031-15,0,Yes
124-031-16,0,Yes
124-031-18,0,Yes
124-031-21,0,Yes
124-031-62,0,Yes
124-032-01,0,Yes
124-032-04,0,Yes
124-032-07,0,Yes
124-032-09,0,Yes
124-032-10,0,Yes
124-032-12,0,Yes
124-032-15,0,Yes
124-032-18,0,Yes
124-032-21,0,Yes
124-032-24,0,Yes
124-032-27,0,Yes
124-032-30,0,Yes
124-032-32,0,Yes
124-032-37,0,Yes
124-042-03,0,Yes
124-042-06,0,Yes
124-042-09,0,Yes
124-042-12,0,Yes
124-042-15,0,Yes
124-043-29,0,Yes
124-043-32,0,Yes
124-043-35,0,Yes
124-043-38,0,Yes
124-043-41,0,Yes
124-043-44,0,Yes
124-043-47,0,Yes
124-043-49,0,Yes
124-043-50,0,Yes
124-043-52,0,Yes
124-043-55,0,Yes
124-043-58,0,Yes
124-043-62,0,Yes
124-043-65,0,Yes
124-043-68,0,Yes
124-061-03,0,Yes
124-061-05,0,Yes
124-061-08,0,Yes
124-061-12,0,Yes
124-062-01,0,Yes
124-062-04,0,Yes
124-062-07,0,Yes
124-062-10,0,Yes
124-062-12,0,Yes
124-062-15,0,Yes
124-063-01,0,Yes
124-063-04,0,Yes
124-063-07,0,Yes
124-063-10,0,Yes
124-063-13,0,Yes
124-063-15,0,Yes
124-064-01,0,Yes
124-064-03,0,Yes
124-064-06,0,Yes
124-064-09,0,Yes
124-064-12,0,Yes
124-064-15,0,Yes
124-064-18,0,Yes
124-064-20,0,Yes
124-064-21,0,Yes
124-064-23,0,Yes
124-064-28,0,Yes
124-071-02,0,Yes
124-071-05,0,Yes
124-071-08,0,Yes
124-071-11,0,Yes
124-071-14,0,Yes
124-071-16,0,Yes
124-071-19,0,Yes
124-071-22,0,Yes
124-071-25,0,Yes
124-071-28,0,Yes
124-071-31,0,Yes
124-071-47,0,Yes
124-071-50,0,Yes
124-072-01,0,Yes
124-072-04,0,Yes
124-072-07,0,Yes
124-072-10,0,Yes
124-081-02,0,Yes
124-081-05,0,Yes
124-081-07,0,Yes
124-081-08,0,Yes
124-081-10,0,Yes
124-081-13,0,Yes
124-081-16,0,Yes
124-082-02,0,Yes
124-082-05,0,Yes
124-082-08,0,Yes
124-082-12,0,Yes
124-082-13,0,Yes
124-082-17,0,Yes
124-082-20,0,Yes
124-082-23,0,Yes
124-082-26,0,Yes
124-082-29,0,Yes
124-082-34,0,Yes
124-082-37,0,Yes
124-082-39,0,Yes
124-082-43,0,Yes
124-082-50,0,Yes
124-083-01,0,Yes
124-083-04,0,Yes
124-083-07,0,Yes
124-083-12,0,Yes
124-083-14,0,Yes
124-083-17,0,Yes
124-083-20,0,Yes
124-083-23,0,Yes
124-083-28,0,Yes
124-083-32,0,Yes
124-083-35,0,Yes
124-084-02,0,Yes
124-084-03,0,Yes
124-084-05,0,Yes
124-084-08,0,Yes
124-084-11,0,Yes
124-085-01,0,Yes
124-085-04,0,Yes
124-085-07,0,Yes
124-085-09,0,Yes
124-085-10,0,Yes
124-085-12,0,Yes
124-085-15,0,Yes
124-340-01,0,Yes
124-340-04,0,Yes
124-340-07,0,Yes
124-340-10,0,Yes
124-340-13,0,Yes
124-340-15,0,Yes
124-340-18,0,Yes
124-340-21,0,Yes
124-340-24,0,Yes
124-340-27,0,Yes
124-340-30,0,Yes
124-340-33,0,Yes
124-340-35,0,Yes
124-340-36,0,Yes
124-340-38,0,Yes
124-340-41,0,Yes
124-340-44,0,Yes
124-370-02,0,Yes
124-390-00,0,Yes
124-390-03,0,Yes
124-400-00,0,Yes
124-400-01,0,Yes
124-400-03,0,Yes
124-400-06,0,Yes
124-400-09,0,Yes
124-400-12,0,Yes
124-400-15,0,Yes
124-400-18,0,Yes
124-400-21,0,Yes
124-400-23,0,Yes
124-400-26,0,Yes
124-400-29,0,Yes
124-500-01,0,Yes
124-500-04,0,Yes
124-500-07,0,Yes
124-500-10,0,Yes
124-500-12,0,Yes
124-500-15,0,Yes
124-500-18,0,Yes
124-500-21,0,Yes
124-500-24,0,Yes
124-500-27,0,Yes
124-500-30,0,Yes
124-500-32,0,Yes
124-600-00,0,Yes
124-600-02,0,Yes
124-600-05,0,Yes
124-750-01,0,Yes
124-760-01,0,Yes
124-800-00,0,Yes
124-810-00,0,Yes
124-810-02,0,Yes
124-810-03,0,Yes
124-810-05,0,Yes
124-810-08,0,Yes
124-810-11,0,Yes
124-810-14,0,Yes
124-820-01,0,Yes
