ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/5510,033-575-004,Active,,726,Information Only,10%,1215,Unknown,Yes,5/20/2003 0:00,,264,98,131,110,36,25,20,40,2,,12147,0,0,"Re-Evaluation of ""Access""…no change in score but an approved re-location from initial IPES evalauation ""Access"" location. Update in parcel size to 12,147 sq. ft. based upon RLS. TH, 5-20-03.",
https://parcels.laketahoeinfo.org/IpesScore/Detail/5511,033-575-006,Active,,801,Information Only,0%,,Unknown,Yes,,,302,98,170,110,36,25,20,40,0,,10100,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5512,033-575-006,Active,,831,Official,18%,,Unknown,Yes,12/19/2016 0:00,,302,98,170,110,36,25,50,40,0,,10100,0,0,WQ points awarded. Maximum of 50 points achieved 4/22/16,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5513,033-575-007,Active,,811,Information Only,20%,,Unknown,Yes,,,312,98,170,110,36,25,20,40,0,,10100,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5514,033-575-007,Active,,841,Official,20%,,Unknown,Yes,12/19/2016 16:38,,312,98,170,110,36,25,50,40,0,,10100,0,0,WQ points awarded. Maximum of 50 points achieved 4/22/16,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5515,033-575-008,Active,,806,Information Only,19%,,Unknown,Yes,12/31/1990 0:00,,307,98,170,110,36,25,20,40,0,,10100,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5516,033-575-008,Active,,836,Official,19%,,Unknown,Yes,12/19/2016 16:38,,307,98,170,110,36,25,50,40,0,,10100,0,0,WQ points awarded. Maximum of 50 points achieved 4/22/16,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5517,033-581-002,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,12000,12000,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5518,033-581-006,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,11900,11900,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5519,033-581-012,Active,,889,Official,26%,,Unknown,Yes,12/19/2016 16:38,,419,59,170,110,36,25,20,50,0,,10600,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5520,033-581-017,Active,,927,Official,26%,3351,Unknown,Yes,12/19/2016 16:38,6/24/2015 0:00,393,98,170,110,36,50,20,50,0,,12890,900,915,Initial IPES evaluation. Filed work done by Phil Scoles,
