TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion,occupied_units,vacant_units,total_units,occupancy_rate,household_size,high_income,low_income,middle_income,high_income_proportion,middle_income_proportion,low_income_proportion,adjusted_occupancy
113,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
114,0601703200212020,136,0,0,136,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
115,0601703200212020,42,0,0,42,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
116,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
117,0601703200212020,22,0,0,22,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
118,0601703200212020,1,0,0,1,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
119,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
120,0601703200212020,15,0,0,15,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
121,0601703200212020,14,0,0,14,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
122,0601703200212020,299,0,0,299,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
123,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
124,0601703200212020,277,0,0,277,0,0,1.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
125,0601703200212020,64,22,9136,64,22,9136,1.0,1.0,1.0,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.03019213174748399
126,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
127,0601703200112020,0,0,0,0,0,0,nan,nan,nan,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,nan
127,0601703200212020,0,0,0,0,0,0,nan,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,nan
128,0601703200112020,3,0,0,3,0,0,1.0,nan,nan,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,0.2845786963434022
128,0601703200212020,0,0,0,3,0,0,0.0,nan,nan,33.0,1060.0,1093.0,0.03019213174748399,1.88,0.0,15.0,18.0,0.0,0.5454545454545454,0.45454545454545453,0.0
129,0601703200112020,125,0,0,125,0,0,1.0,nan,nan,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,0.2845786963434022
130,0601703200112020,958,0,0,958,0,0,1.0,nan,nan,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,0.2845786963434022
131,0601703200112020,89,19,9604,92,19,9604,0.967391304347826,1.0,1.0,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,0.2752989562452478
131,0606102230022020,3,0,0,92,19,9604,0.03260869565217391,0.0,0.0,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.0046626549236838954
132,0601703200222020,201,0,0,201,0,0,1.0,nan,nan,58.0,386.0,444.0,0.13063063063063063,2.03,0.0,0.0,58.0,0.0,1.0,0.0,0.13063063063063063
133,0606102230022020,59,30,9717,59,30,9717,1.0,1.0,1.0,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
134,0601703200112020,0,0,0,551,0,0,0.0,nan,nan,358.0,900.0,1258.0,0.2845786963434022,2.26,145.0,172.0,41.0,0.40502793296089384,0.11452513966480447,0.48044692737430167,0.0
134,0606102230022020,551,0,0,551,0,0,1.0,nan,nan,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
135,0606102230022020,46,0,2260,46,0,2260,1.0,nan,1.0,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
136,0606102230022020,186,0,0,186,0,0,1.0,nan,nan,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
137,0606102230022020,112,0,10068,112,0,10068,1.0,nan,1.0,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
138,0606102230022020,0,0,1808,0,0,1808,nan,nan,1.0,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,nan
139,0606102230012020,13,0,4903,98,33,75737,0.1326530612244898,0.0,0.06473718261879927,102.0,320.0,422.0,0.24170616113744076,2.41,94.0,8.0,0.0,0.9215686274509803,0.0,0.0784313725490196,0.032063062191701325
139,0606102230022020,85,33,70834,98,33,75737,0.8673469387755102,1.0,0.9352628173812008,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.12402027722179614
140,0606102230012020,0,0,0,5,0,0,0.0,nan,nan,102.0,320.0,422.0,0.24170616113744076,2.41,94.0,8.0,0.0,0.9215686274509803,0.0,0.0784313725490196,0.0
140,0606102230022020,5,0,0,5,0,0,1.0,nan,nan,156.0,935.0,1091.0,0.14298808432630614,2.12,78.0,49.0,29.0,0.5,0.1858974358974359,0.3141025641025641,0.14298808432630614
