taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
194,23.0,0.6521739130434783,15,3,5,7,2.2373948328273694,34,0,0,0,0,3
195,837.0,0.6032855436081243,505,152,103,250,2.3554112635699123,1189,0,0,0,0,55
196,28.0,0.7160714285714286,20,7,4,9,2.088235177305545,42,7,39,0,0,50
197,557.0,0.7469479353680432,416,147,92,177,2.088235177305545,869,2,14,0,0,32
198,0.0,0.0,0,0,0,0,2.088235177305545,0,0,0,15,0,7
199,4.0,0.5,2,1,0,1,2.297058695036099,5,0,0,0,0,0
200,541.0,0.5682994454713494,307,94,77,136,2.2522145663437314,691,0,0,0,0,10
201,0.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
202,113.0,0.522566371681416,59,20,16,23,2.1478990395142747,127,0,0,0,0,15
203,31.0,0.12903225806451613,4,0,4,0,2.0186273380620263,8,14,224,20,0,35
204,0.0,0.0,0,0,0,0,2.0186273380620263,0,0,0,0,0,0
205,0.0,0.0,0,0,0,0,2.0656352294992075,0,0,0,0,0,0
206,0.0,0.0,0,0,0,0,2.0186273380620263,0,0,0,0,0,0
207,44.0,0.045454545454545456,2,2,0,0,1.8904023710344928,4,0,0,0,0,0
208,167.0,0.10179640718562874,17,6,11,0,1.9705569277516757,33,0,0,0,0,0
209,26.0,0.11538461538461539,3,0,3,0,2.0186273380620263,6,0,0,0,0,0
210,18.0,0.1111111111111111,2,0,2,0,2.0186273380620263,4,0,0,0,0,0
211,45.0,0.08888888888888889,4,2,2,0,1.9450160794928144,8,0,0,0,0,0
212,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
213,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
214,137.0,0.029197080291970802,4,4,0,0,1.8694676825402012,7,0,0,0,0,0
215,43.0,0.031395348837209305,1,1,0,0,1.8694676825402017,2,0,0,0,0,0
216,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
217,22.0,0.045454545454545456,1,1,0,0,1.8694676825402017,2,0,0,0,0,0
218,1.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
219,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
220,16.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
221,14.0,0.0,0,0,0,0,1.8694676825402012,0,0,0,0,0,0
222,315.0,0.040634920634920635,13,10,1,2,1.8694676825402017,24,0,0,0,0,0
223,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
224,292.0,0.05171232876712328,15,12,1,2,1.8694676825402012,28,0,0,0,0,26
225,72.0,0.051388888888888894,4,3,0,1,1.8694676825402017,7,0,0,0,0,0
226,0.0,0.0,0,0,0,0,1.8694676825402017,0,0,0,0,0,0
227,0.0,0.0,0,0,0,0,1.9450419080045929,0,0,0,0,0,0
228,3.0,0.3333333333333333,1,1,0,0,2.1686156583367504,2,0,23,0,0,72
229,133.0,0.30112781954887213,40,19,7,14,2.2473388098621583,90,0,0,0,0,6
230,1010.0,0.28990099009900994,293,147,44,102,2.2473388098621583,658,0,0,0,0,26
231,93.0,0.27956989247311825,26,13,4,9,2.2473388098621583,58,0,0,0,0,0
232,202.0,0.12871287128712872,26,0,26,0,2.0186273380620263,52,0,15,0,0,6
233,68.0,0.15220588235294116,10,5,2,3,2.1081231313751214,21,0,0,0,0,0
234,571.0,0.15411558669001751,88,37,22,29,2.1081231313751214,186,0,0,0,0,47
235,48.0,0.16666666666666666,8,3,2,3,2.1081231313751214,17,0,0,0,0,0
236,189.0,0.14814814814814814,28,12,7,9,2.1081231313751214,59,0,58,13,0,5
237,119.0,0.17647058823529413,21,9,5,7,2.1081231313751214,44,0,0,0,0,0
238,2.0,0.35,1,0,0,1,2.1081231313751214,2,0,0,0,0,0
239,100.0,0.18350000000000002,18,7,5,6,2.1348245511907566,38,34,0,174,0,46
240,5.0,0.2,1,0,0,1,2.176783925186755,2,0,0,0,0,0
241,344.0,0.25319767441860463,87,9,19,59,2.3964984653839823,208,0,0,0,0,26
242,98.0,0.26224489795918365,26,3,6,17,2.3945630604577484,62,0,0,0,0,0
243,118.0,0.17796610169491525,21,1,2,18,2.114099822235409,44,0,0,0,0,0
244,204.0,0.18504901960784315,38,3,6,29,2.1081231313751214,80,0,0,0,0,16
245,0.0,0.0,0,0,0,0,2.341309392840907,0,0,0,0,0,0
246,0.0,0.0,0,0,0,0,2.1081231313751214,0,0,0,0,0,0
247,97.0,0.16494845360824742,16,1,1,14,2.1081231313751214,34,0,0,0,0,14
248,361.0,0.28628808864265926,103,25,33,45,2.7730370997832767,286,0,0,0,0,14
249,641.0,0.2897035881435257,186,45,60,81,2.772498801078554,516,37,261,19,0,52
250,0.0,0.0,0,0,0,0,2.774369592705938,0,0,0,0,0,0
251,321.0,0.29314641744548287,94,29,13,52,1.9854726038207304,187,0,0,0,0,23
252,78.0,0.3333333333333333,26,11,3,12,2.1478990395142747,56,0,0,0,0,0
253,219.0,0.319634703196347,70,24,9,37,2.023879135457024,142,0,107,1,0,39
254,274.0,0.21897810218978103,60,5,11,44,1.7203080270183773,103,26,34,10,0,275
255,50.0,0.32,16,4,3,9,1.8300949086051617,29,120,153,79,0,164
256,5.0,0.2,1,0,0,1,1.7203080270183773,2,296,0,1,0,65
257,28.0,0.32142857142857145,9,2,2,5,1.791895662594614,16,151,327,61,0,152
258,1.0,0.0,0,0,0,0,2.1478990395142747,0,0,0,0,0,0
259,0.0,0.0,0,0,0,0,1.934103533266326,0,0,0,0,0,0
260,253.0,0.33992094861660077,86,38,10,38,2.226570208379906,191,21,10,19,0,152
261,8.0,0.375,3,1,0,2,2.146974018394759,6,0,0,0,0,0
262,12.0,0.3333333333333333,4,1,0,3,2.087674953247247,8,3,9,1,0,74
263,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
264,62.0,0.3548387096774194,22,7,2,13,2.903641294158186,64,0,0,0,0,0
265,0.0,0.0,0,0,0,0,2.903641294158186,0,0,0,0,0,0
266,695.0,0.3146762589928057,219,90,38,91,2.629638767292044,576,4,16,0,0,277
