TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
98,0601703050232020,0,0,0,0,0,0,0.0,0.0,0.0
99,0601703050222020,2,0,0,4,0,0,0.5,0.0,0.0
99,0601703050242020,2,0,0,4,0,0,0.5,0.0,0.0
100,0601703050212020,185,0,0,509,0,0,0.36345776031434185,0.0,0.0
100,0601703050222020,90,0,0,509,0,0,0.17681728880157171,0.0,0.0
100,0601703050242020,232,0,0,509,0,0,0.45579567779960706,0.0,0.0
100,0601703200222020,2,0,0,509,0,0,0.003929273084479371,0.0,0.0
101,0601703050242020,0,0,0,0,0,0,0.0,0.0,0.0
102,0601703050242020,103,0,0,103,0,0,1.0,0.0,0.0
103,0601703200222020,31,71,0,31,71,0,1.0,1.0,0.0
104,0601703200222020,0,0,0,0,0,0,0.0,0.0,0.0
105,0601703050242020,0,0,0,0,0,0,0.0,0.0,0.0
105,0601703200222020,0,0,0,0,0,0,0.0,0.0,0.0
106,0601703200222020,0,0,0,0,0,0,0.0,0.0,0.0
107,0601703200212020,39,0,0,44,0,0,0.8863636363636364,0.0,0.0
107,0601703200222020,5,0,0,44,0,0,0.11363636363636363,0.0,0.0
108,0601703200212020,47,0,0,164,0,0,0.2865853658536585,0.0,0.0
108,0601703200222020,117,0,0,164,0,0,0.7134146341463414,0.0,0.0
109,0601703200222020,27,0,0,27,0,0,1.0,0.0,0.0
110,0601703200222020,17,0,0,17,0,0,1.0,0.0,0.0
111,0601703200212020,14,0,0,39,0,0,0.358974358974359,0.0,0.0
111,0601703200222020,25,0,0,39,0,0,0.6410256410256411,0.0,0.0
112,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
113,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
114,0601703200212020,136,0,0,136,0,0,1.0,0.0,0.0
115,0601703200212020,42,0,0,42,0,0,1.0,0.0,0.0
116,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
117,0601703200212020,22,0,0,22,0,0,1.0,0.0,0.0
118,0601703200212020,1,0,0,1,0,0,1.0,0.0,0.0
119,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
120,0601703200212020,15,0,0,15,0,0,1.0,0.0,0.0
121,0601703200212020,14,0,0,14,0,0,1.0,0.0,0.0
122,0601703200212020,299,0,0,299,0,0,1.0,0.0,0.0
123,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
124,0601703200212020,277,0,0,277,0,0,1.0,0.0,0.0
125,0601703200212020,64,22,9136,64,22,9136,1.0,1.0,1.0
126,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
127,0601703200112020,0,0,0,0,0,0,0.0,0.0,0.0
127,0601703200212020,0,0,0,0,0,0,0.0,0.0,0.0
128,0601703200112020,3,0,0,3,0,0,1.0,0.0,0.0
128,0601703200212020,0,0,0,3,0,0,0.0,0.0,0.0
129,0601703200112020,125,0,0,125,0,0,1.0,0.0,0.0
130,0601703200112020,958,0,0,958,0,0,1.0,0.0,0.0
131,0601703200112020,89,19,9604,92,19,9604,0.967391304347826,1.0,1.0
131,0606102230022020,3,0,0,92,19,9604,0.03260869565217391,0.0,0.0
132,0601703200222020,201,0,0,201,0,0,1.0,0.0,0.0
133,0606102230022020,59,30,9717,59,30,9717,1.0,1.0,1.0
134,0601703200112020,0,0,0,551,0,0,0.0,0.0,0.0
134,0606102230022020,551,0,0,551,0,0,1.0,0.0,0.0
135,0606102230022020,46,0,2260,46,0,2260,1.0,0.0,1.0
136,0606102230022020,186,0,0,186,0,0,1.0,0.0,0.0
137,0606102230022020,112,0,10068,112,0,10068,1.0,0.0,1.0
138,0606102230022020,0,0,1808,0,0,1808,0.0,0.0,1.0
139,0606102230012020,13,0,4903,98,33,75737,0.1326530612244898,0.0,0.06473718261879927
139,0606102230022020,85,33,70834,98,33,75737,0.8673469387755102,1.0,0.9352628173812008
140,0606102230012020,0,0,0,5,0,0,0.0,0.0,0.0
140,0606102230022020,5,0,0,5,0,0,1.0,0.0,0.0
141,0606102230012020,333,9,0,333,9,0,1.0,1.0,0.0
142,0606102210022020,1,0,0,87,0,0,0.011494252873563218,0.0,0.0
142,0606102230012020,86,0,0,87,0,0,0.9885057471264368,0.0,0.0
143,0606102210022020,115,0,0,116,0,0,0.9913793103448276,0.0,0.0
143,0606102230012020,1,0,0,116,0,0,0.008620689655172414,0.0,0.0
144,0606102210022020,193,0,0,193,0,0,1.0,0.0,0.0
145,0606102210012020,0,0,0,0,0,0,0.0,0.0,0.0
145,0606102210022020,0,0,0,0,0,0,0.0,0.0,0.0
146,0606102210022020,0,0,0,0,0,0,0.0,0.0,0.0
147,0606102210022020,95,0,0,95,0,0,1.0,0.0,0.0
148,0606102210012020,356,0,0,356,0,0,1.0,0.0,0.0
148,0606102210022020,0,0,0,356,0,0,0.0,0.0,0.0
149,0606102210012020,606,45,18969,609,45,18969,0.9950738916256158,1.0,1.0
149,0606102210022020,3,0,0,609,45,18969,0.0049261083743842365,0.0,0.0
149,0606102220022020,0,0,0,609,45,18969,0.0,0.0,0.0
150,0606102210012020,0,0,0,0,0,0,0.0,0.0,0.0
151,0606102210012020,1,0,0,307,0,0,0.003257328990228013,0.0,0.0
151,0606102220012020,135,0,0,307,0,0,0.43973941368078173,0.0,0.0
151,0606102220022020,171,0,0,307,0,0,0.5570032573289903,0.0,0.0
152,0606102220022020,49,165,45196,49,165,45196,1.0,1.0,1.0
