TAZ,persons_per_occ_unit
217,1.7906237425313722
218,1.7906237425313722
219,1.7906237425313722
220,1.7906237425313722
221,1.790623742531372
222,1.7906237425313722
223,1.7906237425313722
224,1.790623742531372
225,1.7906237425313722
226,1.7906237425313722
227,1.8630106597826404
228,2.0771552899843093
229,2.1525583287877144
230,2.1525583287877144
231,2.1525583287877144
232,1.9334926581588754
233,2.0192140075353775
234,2.0192140075353775
235,2.0192140075353775
236,2.0192140075353775
237,2.0192140075353775
238,2.0192140075353775
239,2.044789307246474
240,2.0849790639353394
241,2.2954272444152166
242,2.293573464301929
243,2.0249386342064626
244,2.0192140075353775
245,2.242565745633041
246,2.0192140075353775
247,2.0192140075353775
248,2.656085535025286
249,2.655569938820948
250,2.657361830671558
251,1.901736209591059
252,2.0573123850360453
253,1.938522963413293
254,1.6477548269038693
255,1.7529114972351039
256,1.6477548269038693
257,1.7163232868626501
258,2.0573123850360453
259,1.852533605969957
260,2.13266563352445
261,2.0564263762569595
262,1.9996282219188377
263,0.0
264,2.7811815575487273
265,2.7811815575487273
266,2.5187349612783727
267,2.0001648187850436
268,2.0556667744895503
269,2.102964751179086
270,2.0192140075353775
271,2.0192140075353775
272,2.0192140075353775
273,2.0194317125496672
274,2.5049683206688877
275,2.0867327987726716
276,2.2192304894138815
277,1.7810991481562057
278,1.7817605783211479
279,2.0384521763328376
280,2.209705895038715
281,2.179438583783456
282,2.1525583287877144
283,2.1525583287877144
284,2.191389367394163
285,2.209705895038715
286,2.209705895038715
287,2.1525583287877144
288,2.1650161027455446
289,2.2188920520502973
290,2.3662159030068617
291,2.3520845741910255
292,2.3498979638810407
300,2.209705895038715
301,2.209705895038715
302,1.885869686283041
303,1.885869686283041
304,1.885869686283041
305,1.945874630846592
306,2.2157105306230593
307,1.885869686283041
308,1.8783386116608163
309,1.5727832271956057
310,1.5620334775273674
311,1.5897694491106078
312,1.885869686283041
313,1.885869686283041
314,2.158619434299183
315,1.6578625597101688
316,1.5620334775273674
317,2.2370989433243182
318,2.4859191319185543
319,2.4859191319185543
320,1.7733308619636932
321,2.4859191319185543
322,2.4859191319185543
323,2.479231650761522
324,1.7525253650307047
325,1.793368117181844
326,1.7525253650307047
327,1.8287221200320403
328,1.82872212003204
329,1.82872212003204
330,1.82872212003204
331,1.8287221200320403
332,1.8287221200320403
333,1.82872212003204
334,1.82872212003204
335,1.82872212003204
336,1.82872212003204
337,1.82872212003204
338,1.82872212003204
339,0.0
340,1.82872212003204
341,1.82872212003204
342,1.82872212003204
343,1.82872212003204
344,1.82872212003204
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,2.5240175094192216
353,2.5240175094192216
354,2.5240175094192216
355,0.0
356,0.0
357,0.0
358,2.5571029425119067
359,2.5240175094192216
360,2.581165075670223
361,2.581165075670223
362,1.7049023931548706
363,2.343050216291051
364,1.7049023931548704
365,1.704902393154871
366,2.5240175094192216
367,2.523059414127045
368,2.264948542414683
369,2.199993124786835
370,2.159448082102087
371,1.82872212003204
372,1.82872212003204
373,1.82872212003204
374,2.324001027540718
375,2.1049353569118794
376,2.1049353569118794
377,2.262524100210095
378,2.4763945375433876
379,2.4763945375433876
380,1.9811156300347108
381,1.9811156300347108
382,1.9811156300347108
383,1.9811156300347108
384,1.9811156300347108
385,2.0763615737863788
386,2.0763615737863788
387,2.0773566806613966
388,1.533459694401867
389,1.7862051162748516
390,1.9811156300347108
391,2.096204478734643
392,1.8334844172196236
393,1.5334596944018668
394,1.5334596944018668
395,1.5334596944018668
396,1.533459694401867
397,1.5334596944018668
