taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
312,256.0,176,93,24,59,332,256.0,176,92,24,60,332,256.0,182,93,26,63,343,0.0,6,1,2,3,11
313,531.0,392,219,56,117,739,531.0,392,218,56,118,739,531.0,405,219,61,125,763,0.0,13,1,5,7,24
314,4.0,3,1,0,2,6,4.0,3,1,0,2,6,4.0,3,1,0,2,7,0.0,0,0,0,0,1
315,75.0,40,21,2,17,66,75.0,40,21,2,17,66,75.0,41,21,2,18,68,0.0,1,0,0,1,2
316,249.0,107,53,3,51,167,249.0,107,53,3,51,167,249.0,110,53,3,54,173,0.0,3,0,0,3,6
317,259.0,229,167,39,23,512,259.0,229,166,39,24,512,259.0,236,167,42,27,529,0.0,7,1,3,3,17
318,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0
319,210.0,99,28,6,65,246,210.0,99,28,6,65,246,210.0,102,28,6,68,254,0.0,3,0,0,3,8
320,138.0,71,19,14,38,126,138.0,71,19,14,38,126,138.0,73,19,15,39,130,0.0,2,0,1,1,4
321,414.0,196,54,11,131,487,414.0,196,54,11,131,487,414.0,202,54,12,136,503,0.0,6,0,1,5,16
322,56.0,27,9,2,16,67,56.0,27,8,2,17,67,56.0,28,9,2,17,69,0.0,1,1,0,0,2
323,290.0,137,38,8,91,340,290.0,137,37,8,92,340,290.0,141,38,9,94,351,0.0,4,1,1,2,11
324,195.0,100,27,21,52,175,195.0,100,27,21,52,175,195.0,103,27,23,53,181,0.0,3,0,2,1,6
325,291.0,147,39,28,80,264,291.0,147,39,28,80,264,291.0,152,39,30,83,272,0.0,5,0,2,3,8
326,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
327,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
328,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
329,354.0,186,56,49,81,340,354.0,186,56,49,81,340,354.0,192,56,53,83,351,0.0,6,0,4,2,11
330,100.0,51,15,13,23,93,100.0,51,15,13,23,93,100.0,53,15,14,24,96,0.0,2,0,1,1,3
331,150.0,81,23,20,38,148,150.0,81,23,20,38,148,150.0,84,23,22,39,153,0.0,3,0,2,1,5
332,26.0,14,4,3,7,26,26.0,14,4,3,7,26,26.0,14,4,3,7,26,0.0,0,0,0,0,0
333,14.0,7,2,2,3,13,14.0,7,2,2,3,13,14.0,7,2,2,3,13,0.0,0,0,0,0,0
334,2.0,1,0,0,1,2,2.0,1,0,0,1,2,2.0,2,0,0,2,2,0.0,1,0,0,1,0
335,24.0,13,4,3,6,24,24.0,13,4,3,6,24,24.0,13,4,3,6,25,0.0,0,0,0,0,1
336,2.0,1,0,0,1,2,2.0,1,0,0,1,2,2.0,1,0,0,1,2,0.0,0,0,0,0,0
337,57.0,31,8,7,16,57,58.0,31,8,7,16,57,57.0,32,8,8,16,59,-1.0,1,0,1,0,2
338,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
339,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
340,243.0,129,38,33,58,236,243.0,129,38,33,58,236,243.0,133,38,36,59,244,0.0,4,0,3,1,8
341,1.0,1,0,0,1,2,1.0,1,0,0,1,2,1.0,1,0,0,1,2,0.0,0,0,0,0,0
342,64.0,34,10,9,15,62,64.0,34,10,9,15,62,64.0,35,10,10,15,64,0.0,1,0,1,0,2
343,2.0,1,0,0,1,2,2.0,1,0,0,1,2,2.0,1,0,0,1,2,0.0,0,0,0,0,0
344,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
345,2.0,0,0,0,0,0,2.0,0,0,0,0,0,2.0,0,0,0,0,0,0.0,0,0,0,0,0
346,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
347,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
348,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,0,0,1,0,0.0,1,0,0,1,0
349,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
350,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
351,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
352,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
353,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
354,3.0,1,0,0,1,3,3.0,1,0,0,1,3,3.0,1,0,0,1,3,0.0,0,0,0,0,0
355,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
356,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
357,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
358,10.0,5,1,1,3,13,10.0,5,1,1,3,13,10.0,5,1,1,3,13,0.0,0,0,0,0,0
359,4.0,2,0,0,2,5,4.0,2,0,0,2,5,4.0,2,0,0,2,5,0.0,0,0,0,0,0
360,143.0,71,7,4,60,183,143.0,71,6,4,61,183,143.0,73,7,4,62,189,0.0,2,1,0,1,6
361,427.0,211,20,11,180,545,428.0,212,21,11,180,547,427.0,218,20,12,186,562,-1.0,6,-1,1,6,15
362,167.0,50,25,8,17,85,167.0,50,25,8,17,85,167.0,52,25,9,18,88,0.0,2,0,1,1,3
363,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
364,392.0,122,57,18,47,208,392.0,122,56,18,48,208,392.0,126,57,19,50,215,0.0,4,1,1,2,7
365,80.0,56,18,5,33,95,87.0,59,8,12,39,101,80.0,58,18,5,35,99,-7.0,-1,10,-7,-4,-2
366,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0
367,640.0,331,80,81,170,835,640.0,331,71,82,178,835,640.0,342,80,88,174,862,0.0,11,9,6,-4,27
368,3.0,1,0,0,1,2,3.0,1,0,0,1,2,3.0,1,0,0,1,2,0.0,0,0,0,0,0
369,426.0,208,40,40,128,458,426.0,208,40,40,128,458,426.0,215,40,43,132,472,0.0,7,0,3,4,14
370,425.0,219,47,45,127,473,430.0,223,49,46,128,482,425.0,226,47,49,130,488,-5.0,3,-2,3,2,6
371,54.0,29,4,9,16,53,60.0,31,4,9,18,57,54.0,30,4,10,16,55,-6.0,-1,0,1,-2,-2
372,186.0,97,15,31,51,177,186.0,97,15,31,51,177,186.0,100,15,34,51,183,0.0,3,0,3,0,6
373,466.0,242,37,76,129,443,466.0,242,37,76,129,443,466.0,251,37,82,132,457,0.0,9,0,6,3,14
374,639.0,424,132,62,230,985,647.0,428,133,62,233,995,639.0,438,132,67,239,1017,-8.0,10,-1,5,6,22
375,77.0,30,7,9,14,63,77.0,30,6,9,15,63,77.0,31,7,10,14,65,0.0,1,1,1,-1,2
376,657.0,260,62,78,120,547,662.0,262,58,78,126,551,657.0,268,62,84,122,565,-5.0,6,4,6,-4,14
377,159.0,88,32,20,36,199,159.0,89,32,21,36,201,159.0,91,32,22,37,206,0.0,2,0,1,1,5
378,289.0,224,122,33,69,555,289.0,224,121,33,70,555,289.0,231,122,36,73,573,0.0,7,1,3,3,18
379,201.0,137,68,18,51,339,176.0,134,67,21,46,332,201.0,141,68,19,54,350,25.0,7,1,-2,8,18
380,26.0,17,10,3,4,34,36.0,24,10,4,10,48,26.0,18,10,3,5,35,-10.0,-6,0,-1,-5,-13
381,231.0,106,34,29,43,210,222.0,103,34,29,40,204,231.0,109,34,31,44,217,9.0,6,0,2,4,13
382,252.0,121,43,36,42,240,252.0,122,44,36,42,242,252.0,125,43,39,43,247,0.0,3,-1,3,1,5
383,328.0,157,57,48,52,311,333.0,159,57,48,54,315,328.0,162,57,52,53,321,-5.0,3,0,4,-1,6
384,0.0,0,0,0,0,0,11.0,4,0,0,4,8,0.0,0,0,0,0,0,-11.0,-4,0,0,-4,-8
385,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
386,188.0,113,10,7,96,235,189.0,114,10,7,97,237,188.0,117,10,8,99,242,-1.0,3,0,1,2,5
387,562.0,332,29,22,281,690,562.0,333,29,22,282,692,562.0,343,29,24,290,712,0.0,10,0,2,8,20
388,17.0,6,2,1,3,9,17.0,6,1,1,4,9,17.0,6,2,1,3,9,0.0,0,1,0,-1,0
389,95.0,41,14,2,25,73,96.0,42,15,2,25,75,95.0,42,14,2,26,76,-1.0,0,-1,0,1,1
390,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0
391,668.0,427,56,26,345,895,668.0,427,56,26,345,895,668.0,441,56,28,357,924,0.0,14,0,2,12,29
392,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
393,111.0,36,13,1,22,55,111.0,36,10,2,24,55,111.0,37,13,1,23,57,0.0,1,3,-1,-1,2
394,273.0,84,24,1,59,129,273.0,84,21,2,61,129,273.0,87,24,1,62,133,0.0,3,3,-1,1,4
395,40.0,13,5,0,8,20,40.0,13,4,0,9,20,40.0,13,5,0,8,21,0.0,0,1,0,-1,1
396,100.0,38,15,2,21,58,100.0,38,11,3,24,58,100.0,39,15,2,22,60,0.0,1,4,-1,-2,2
397,22.0,6,2,0,4,9,22.0,6,2,0,4,9,22.0,6,2,0,4,9,0.0,0,0,0,0,0
