taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
190,19.0,9,3,1,5,25,20.0,10,4,1,5,27,19.0,9,3,1,5,25,-1.0,-1,-1,0,0,-2
191,299.0,132,49,21,62,362,307.0,140,52,22,66,384,299.0,136,49,23,64,374,-8.0,-4,-3,1,-2,-10
192,488.0,208,72,33,103,571,495.0,214,77,34,103,587,488.0,215,72,36,107,589,-7.0,1,-5,2,4,2
193,6.0,3,1,0,2,8,6.0,3,1,0,2,8,6.0,3,1,0,2,8,0.0,0,0,0,0,0
194,24.0,15,3,5,7,32,25.0,16,4,5,7,34,24.0,15,3,5,7,33,-1.0,-1,-1,0,0,-1
195,900.0,525,152,101,272,1184,912.0,536,162,102,272,1209,900.0,542,152,109,281,1223,-12.0,6,-10,7,9,14
196,63.0,34,9,5,20,68,63.0,34,8,5,21,68,63.0,35,9,5,21,70,0.0,1,1,0,0,2
197,582.0,438,163,95,180,876,587.0,443,159,97,187,886,582.0,452,163,103,186,904,-5.0,9,4,6,-1,18
198,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
199,4.0,2,1,0,1,4,4.0,2,1,0,1,4,4.0,2,1,0,1,5,0.0,0,0,0,0,1
200,578.0,318,92,75,151,686,590.0,330,104,76,150,712,578.0,328,92,81,155,708,-12.0,-2,-12,5,5,-4
201,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
202,120.0,61,20,16,25,125,121.0,63,21,16,26,130,120.0,63,20,17,26,130,-1.0,0,-1,1,0,0
203,31.0,4,0,4,0,8,31.0,4,0,4,0,8,31.0,4,0,4,0,8,0.0,0,0,0,0,0
204,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
205,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
206,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
207,44.0,2,2,0,0,4,44.0,2,2,0,0,4,44.0,2,2,0,0,4,0.0,0,0,0,0,0
208,169.0,18,6,11,1,34,169.0,18,6,11,1,34,169.0,19,6,12,1,35,0.0,1,0,1,0,1
209,27.0,3,0,3,0,6,27.0,3,0,3,0,6,27.0,3,0,3,0,6,0.0,0,0,0,0,0
210,19.0,2,0,2,0,4,19.0,2,0,2,0,4,19.0,2,0,2,0,4,0.0,0,0,0,0,0
211,45.0,4,2,2,0,7,45.0,4,2,2,0,7,45.0,5,2,2,1,8,0.0,1,0,0,1,1
212,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
213,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
214,140.0,5,4,0,1,9,140.0,5,4,0,1,9,140.0,5,4,0,1,9,0.0,0,0,0,0,0
215,54.0,5,1,0,4,9,58.0,9,5,0,4,16,54.0,5,1,0,4,9,-4.0,-4,-4,0,0,-7
216,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
217,22.0,1,1,0,0,2,22.0,1,1,0,0,2,22.0,1,1,0,0,2,0.0,0,0,0,0,0
218,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0
219,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
220,16.0,0,0,0,0,0,16.0,0,0,0,0,0,16.0,0,0,0,0,0,0.0,0,0,0,0,0
221,15.0,0,0,0,0,0,15.0,0,0,0,0,0,15.0,0,0,0,0,0,0.0,0,0,0,0,0
222,339.0,24,10,1,13,43,342.0,27,13,1,13,48,339.0,26,10,1,15,44,-3.0,-1,-3,0,2,-4
223,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
224,308.0,20,11,1,8,36,312.0,24,15,1,8,43,308.0,21,11,1,9,37,-4.0,-3,-4,0,1,-6
225,80.0,7,2,0,5,13,83.0,10,4,0,6,18,80.0,7,2,0,5,13,-3.0,-3,-2,0,-1,-5
226,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
227,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
228,3.0,1,1,0,0,2,3.0,1,1,0,0,2,3.0,1,1,0,0,2,0.0,0,0,0,0,0
229,144.0,49,26,8,15,105,145.0,50,24,8,18,108,144.0,51,26,9,16,109,-1.0,1,2,1,-2,1
230,1029.0,311,159,46,106,669,1034.0,317,159,47,111,682,1029.0,321,159,50,112,691,-5.0,4,0,3,1,9
231,98.0,30,16,5,9,65,98.0,30,14,5,11,65,98.0,31,16,5,10,67,0.0,1,2,0,-1,2
232,202.0,26,0,26,0,50,202.0,26,0,26,0,50,202.0,27,0,28,-1,52,0.0,1,0,2,-1,2
233,72.0,15,8,3,4,30,73.0,16,7,4,5,32,72.0,15,8,3,4,31,-1.0,-1,1,-1,-1,-1
234,594.0,106,51,25,30,214,594.0,107,45,26,36,216,594.0,109,51,27,31,221,0.0,2,6,1,-5,5
235,47.0,7,3,2,2,14,48.0,8,4,2,2,16,47.0,7,3,2,2,15,-1.0,-1,-1,0,0,-1
236,192.0,31,14,8,9,63,194.0,33,15,8,10,67,192.0,32,14,9,9,65,-2.0,-1,-1,1,-1,-2
237,122.0,23,13,5,5,46,125.0,26,12,6,8,52,122.0,24,13,5,6,48,-3.0,-2,1,-1,-2,-4
238,2.0,2,0,0,2,4,2.0,2,0,0,2,4,2.0,2,0,0,2,4,0.0,0,0,0,0,0
