,TAZ,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other,FORECASTED_RESIDENTIAL_UNITS,FORECASTED_OCCUPIED_UNITS,FORECASTED_RES_INCOME_LOW_UNITS,FORECASTED_RES_INCOME_MEDIUM_UNITS,FORECASTED_RES_INCOME_HIGH_UNITS,TOTAL_FORECASTED_UNITS_LOW_INCOME,TOTAL_FORECASTED_UNITS_MED_INCOME,TOTAL_FORECASTED_UNITS_HIGH_INCOME,TOTAL_FORECASTED_UNITS_OCCUPIED,NEW_OCCUPANCY_RATE,FORECASTED_POPULATION,Adjusted_Persons_Per_Occupied_Unit
10,221,14.0,0.0301921317474839,0.4226898444647758,0.4226898444647758,0.0,0.0,1.9091557391349447,0.806980742433984,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.4226898444647758,0.0,0.0,0.4226898444647758,0.02817932296431839,0.7928695322996704,1.875771425981688
11,220,16.0,0.0301921317474839,0.4830741079597438,0.4830741079597438,0.0,0.0,1.909155739134945,0.9222637056388387,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4830741079597438,0.0,0.0,0.4830741079597438,0.03019213174748399,0.9061366083424807,1.8757714259816882
12,219,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8757714259816882
13,218,1.0,0.0301921317474839,0.0301921317474839,0.0301921317474839,0.0,0.0,1.909155739134945,0.0576414816024274,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0301921317474839,0.0,0.0,0.0301921317474839,0.0301921317474839,0.05663353802140488,1.8757714259816882
14,217,22.0,0.0301921317474839,0.6642268984446478,0.6642268984446478,0.0,0.0,1.909155739134945,1.2681125952534034,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6642268984446478,0.0,0.0,0.6642268984446478,0.03019213174748399,1.245937836470911,1.8757714259816882
15,216,0.0,0.0301921317474839,0.0,0.0,0.0,0.0,1.909155739134945,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.8757714259816882
16,109,172.0,0.2437869822485207,41.93136094674556,35.21420118343195,0.0,6.71715976331361,2.142722664667412,89.8472774609417,0,0,0,0,0,7.0,7.0,5.46,1.4000000000000001,0.14,40.674201183431954,1.4000000000000001,6.85715976331361,48.93136094674556,0.27335955836170706,103.01294827309385,2.105254100436895
17,110,22.0,0.3409426260205228,10.804029660699571,6.527610915536915,1.8143459915611813,2.462072753601478,2.3567047858850447,29.33114302901915,0,0,0,0,0,17.0,5.949999999999999,0.0595,0.119,5.771499999999999,6.587110915536915,1.9333459915611813,8.233572753601477,16.754029660699572,0.42959050412050187,38.79386250743151,2.315494438835299
18,111,215.0,0.2437869822485207,52.41420118343196,44.01775147928994,0.0,8.396449704142013,2.142722664667412,112.30909682617713,0,0,0,0,0,32.0,11.499999999999998,1.1015,0.203,10.1955,45.11925147928994,0.203,18.59194970414201,63.91420118343196,0.25876194811106057,134.55563411756881,2.105254100436895
19,215,42.0,0.0301921317474839,1.2680695333943277,1.2680695333943277,0.0,0.0,1.909155739134945,2.420942227301952,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.2680695333943277,0.0,0.0,1.2680695333943277,0.029489989148705296,2.3786085968990123,1.8757714259816882
