taz,hotelmotel,resort,casino,campground,percentHouseSeasonal
229,0,0,0,0.0,0.877881169432862
230,0,0,0,0.0,0.877881169432862
231,19,0,0,0.0,0.877881169432862
228,0,0,0,175.0,0.8881060258079128
225,0,22,0,40.0,0.9269604800331058
227,0,0,0,0.0,0.9171446179130571
226,0,0,0,0.0,0.9269604800331058
224,0,0,0,0.0,0.9269604800331058
223,0,0,0,0.0,0.9269604800331058
222,0,0,0,0.0,0.9269604800331058
221,0,0,0,0.0,0.9269604800331058
220,0,0,0,0.0,0.9269604800331058
219,0,0,0,0.0,0.9269604800331058
218,0,0,0,165.0,0.9269604800331058
217,0,0,0,0.0,0.9269604800331058
216,0,0,0,116.0,0.9269604800331058
109,1281,258,0,0.0,0.8313363252145876
110,0,1291,0,0.0,0.8455645110156924
111,327,364,0,0.0,0.8313363252145876
215,0,0,0,0.0,0.9269604800331059
116,0,0,0,0.0,0.872242359392764
113,464,0,0,0.0,0.7563297534933934
112,259,0,0,0.0,0.48308403151586987
118,200,50,0,0.0,0.9556328737597086
115,160,0,0,0.0,0.872242359392764
214,0,0,0,0.0,0.9269604800331059
124,193,0,0,0.0,0.8988222770398954
119,0,326,0,0.0,0.9178893038694729
212,0,0,0,0.0,0.9269604800331058
117,0,0,0,0.0,0.8502084371230647
120,0,0,0,178.0,0.9062076034689339
114,0,0,0,0.0,0.8623296662633411
137,0,22,0,0.0,0.6897236354359525
121,0,0,0,0.0,0.9071359186535228
122,0,0,0,0.0,0.9556328737597087
123,0,0,0,0.0,0.873627171927315
204,0,0,0,330.0,0.9421939680662332
138,15,0,0,0.0,0.715911694762499
125,29,0,0,0.0,0.7392640322867281
126,0,0,0,0.0,0.8182644182644183
144,0,0,0,0.0,0.9667148183143565
203,0,71,0,0.0,0.9421939680662331
153,0,0,0,0.0,0.9662926442517163
139,26,0,0,0.0,0.8221040752518853
127,0,0,0,0.0,0.9050487079274339
145,0,0,0,0.0,0.8269375526519837
140,0,0,0,0.0,0.8114676899313458
135,0,0,0,0.0,0.7392640322867281
