TAZ,hotelmotel,casino,resort,campground,percentHouseSeasonal
283,0,0,0,0,0.6663778162911612
284,0,0,0,0,0.6900814256541279
285,0,0,0,0,0.0
286,0,0,0,0,0.700399467376831
287,0,0,0,0,0.0
288,0,0,0,0,0.6577196191908399
289,107,0,71,0,0.4508196721311475
290,69,0,0,0,0.3894837931113998
291,0,0,0,0,0.4118268215417107
292,0,0,0,0,0.41182682154171074
300,9,1279,0,0,0.0
301,0,0,154,0,0.0
302,0,950,0,0,0.0
303,0,0,0,0,0.17167381974248921
304,64,0,0,0,0.0
305,0,0,0,0,0.0
306,0,0,0,0,0.0
307,0,0,0,0,0.0
308,0,0,0,0,0.17167381974248924
309,106,0,0,0,0.43253831799366654
310,65,0,604,0,0.43421052631578944
311,50,0,0,0,0.4199766084895261
312,0,0,0,0,0.17167381974248924
313,0,0,0,0,0.17167381974248924
314,0,0,0,0,0.17167381974248924
315,0,0,0,0,0.3394056044976532
316,0,0,0,0,0.43421052631578944
317,0,0,0,0,0.0
318,0,0,0,96,0.46490066225165566
319,110,0,0,0,0.46490066225165566
320,0,0,0,0,0.4295685410384988
321,0,0,0,0,0.46490066225165566
322,0,0,0,0,0.46490066225165566
323,0,0,0,0,0.46450950038022243
324,0,0,32,0,0.42878338278931755
325,5,0,0,0,0.42878338278931755
326,0,0,0,215,0.0
327,0,0,0,0,0.0
328,0,0,0,0,0.0
329,0,0,0,0,0.4162487462387161
330,0,0,0,0,0.41624874623871616
331,0,0,0,0,0.4162487462387161
332,0,0,0,0,0.4162487462387161
333,0,0,0,0,0.41624874623871616
334,0,0,0,0,0.4162487462387161
335,0,0,0,0,0.41624874623871605
336,0,0,0,0,0.4162487462387161
337,0,0,0,0,0.4162487462387161
338,0,0,0,0,0.0
339,0,0,0,0,0.0
340,6,0,0,0,0.41624874623871605
341,0,0,0,0,0.4162487462387161
342,0,0,0,0,0.4162487462387161
343,0,0,0,0,0.4162487462387161
344,0,0,0,0,0.0
345,0,0,0,0,0.0
346,0,0,0,0,0.0
347,0,0,0,0,0.0
348,0,0,0,0,0.0
349,0,0,0,0,0.0
350,0,0,0,0,0.0
351,0,0,0,0,0.0
352,0,0,0,0,0.0
353,0,0,0,0,0.0
354,0,0,0,0,0.4103942652329749
355,0,0,0,0,0.0
358,0,0,0,0,0.43198147802846654
359,0,0,0,0,0.41039426523297484
360,0,0,0,0,0.4412331406551059
361,38,0,0,0,0.4412331406551059
362,16,0,0,0,0.5231788079470199
363,0,48,0,0,0.0
364,0,416,60,0,0.5231788079470199
365,0,0,0,0,0.5231788079470199
366,0,0,0,0,0.41039426523297484
367,0,0,0,0,0.41039426523297484
368,0,0,0,0,0.4103942652329749
369,21,0,0,0,0.39655172413793105
370,0,0,0,0,0.3906610884957911
371,0,0,0,0,0.4412751677852349
372,0,0,0,0,0.4412751677852349
373,0,0,93,0,0.4412751677852349
374,0,0,0,0,0.25925925925925924
375,0,0,0,0,0.5508982035928145
376,0,0,0,0,0.5508982035928145
377,0,0,0,0,0.3736220937915111
378,0,0,0,0,0.1254355400696864
379,0,0,0,0,0.1254355400696864
380,0,0,0,0,0.4461910519951633
381,0,0,0,0,0.4461910519951633
382,0,0,0,0,0.4461910519951633
383,0,0,0,0,0.4461910519951633
384,0,0,0,0,0.0
385,0,0,0,0,0.0
386,0,0,0,0,0.3134872417982989
387,0,0,0,0,0.313181842827414
388,0,0,0,0,0.6162988115449916
389,0,0,0,0,0.47605216255204724
390,0,0,0,0,0.4461910519951633
391,0,0,0,0,0.321582008653408
392,0,0,0,0,0.0
393,0,0,0,0,0.6162988115449916
394,0,0,0,0,0.6162988115449916
395,0,0,0,0,0.6162988115449916
396,19,10,0,0,0.6162988115449916
397,0,0,0,0,0.6162988115449916
