TAZ,tau_occupancy_rate,vhr_occupancy_rate
274.0,0.0,0.42233699999999996
275.0,0.0,0.422337
276.0,0.592337,0.42233699999999996
277.0,0.0,0.422337
278.0,0.0,0.422337
279.0,0.0,0.422337
280.0,0.0,0.42233699999999996
281.0,0.592337,0.422337
282.0,0.592337,0.422337
283.0,0.0,0.422337
284.0,0.0,0.422337
286.0,0.0,0.422337
288.0,0.0,0.422337
289.0,0.5923369999999999,0.42233699999999996
290.0,0.5923369999999999,0.422337
291.0,0.0,0.422337
292.0,0.0,0.422337
300.0,0.78815247,0.0
301.0,0.592337,0.0
302.0,0.78815247,0.0
304.0,0.592337,0.0
306.0,0.0,0.4468551566666667
308.0,0.0,0.4468551566666667
309.0,0.592337,0.4468551566666667
310.0,0.592337,0.4468551566666667
311.0,0.592337,0.4468551566666667
312.0,0.0,0.4468551566666667
313.0,0.0,0.44685515666666675
315.0,0.0,0.4468551566666667
316.0,0.0,0.4468551566666667
317.0,0.0,0.44685515666666675
319.0,0.592337,0.4468551566666667
320.0,0.0,0.4468551566666667
321.0,0.0,0.4468551566666667
322.0,0.0,0.4468551566666667
323.0,0.0,0.4468551566666667
324.0,0.592337,0.4468551566666667
325.0,0.592337,0.44685515666666664
329.0,0.0,0.4468551566666667
330.0,0.0,0.4468551566666667
331.0,0.0,0.4468551566666667
332.0,0.0,0.4468551566666667
333.0,0.0,0.4468551566666667
335.0,0.0,0.4468551566666667
340.0,0.592337,0.4468551566666667
342.0,0.0,0.4468551566666667
360.0,0.0,0.422337
361.0,0.592337,0.422337
362.0,0.592337,0.422337
363.0,0.592337,0.0
364.0,0.592337,0.422337
365.0,0.0,0.422337
367.0,0.0,0.422337
369.0,0.592337,0.422337
370.0,0.0,0.422337
371.0,0.0,0.422337
372.0,0.0,0.422337
373.0,0.592337,0.422337
374.0,0.0,0.422337
375.0,0.0,0.422337
376.0,0.0,0.4223370000000001
377.0,0.0,0.422337
378.0,0.0,0.422337
379.0,0.0,0.422337
381.0,0.0,0.422337
382.0,0.0,0.422337
383.0,0.0,0.422337
386.0,0.0,0.422337
387.0,0.0,0.422337
389.0,0.0,0.422337
391.0,0.0,0.422337
393.0,0.0,0.422337
394.0,0.0,0.422337
395.0,0.0,0.422337
396.0,0.5923370000000001,0.422337
397.0,0.0,0.422337
