TAZ,total_residential_units,occupied_units,occupancy_rate,seasonal_rate,household_size,high_income_proportion,middle_income_proportion,low_income_proportion,people
185.0,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0
186.0,84,0,0.0,0.0,0.0,0.0,0.0,0.0,0
187.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0
188.0,66,0,0.0,0.0,0.0,0.0,0.0,0.0,0
189.0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0
190.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0
191.0,260,0,0.0,0.0,0.0,0.0,0.0,0.0,0
192.0,462,0,0.0,0.0,0.0,0.0,0.0,0.0,0
193.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0
194.0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0
195.0,809,0,0.0,0.0,0.0,0.0,0.0,0.0,0
196.0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0
197.0,546,0,0.0,0.0,0.0,0.0,0.0,0.0,0
198.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
199.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0
200.0,526,0,0.0,0.0,0.0,0.0,0.0,0.0,0
201.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
202.0,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0
203.0,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0
204.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
205.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
206.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
207.0,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0
208.0,167,0,0.0,0.0,0.0,0.0,0.0,0.0,0
209.0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0
210.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0
211.0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0
212.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
213.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
214.0,137,0,0.0,0.0,0.0,0.0,0.0,0.0,0
215.0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0
216.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
217.0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0
218.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
219.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
220.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0
221.0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0
222.0,308,0,0.0,0.0,0.0,0.0,0.0,0.0,0
223.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
224.0,284,0,0.0,0.0,0.0,0.0,0.0,0.0,0
225.0,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0
226.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
