TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
194,23,15,16.26728208571109,35,34.668704156479215,3,5,7
195,809,482,633.6747297750924,1153,1127.8444457033813,134,110,238
196,25,19,22.591943957968475,40,39.17763157894737,7,4,8
197,546,407,493.4080560420315,875,855.6394736842105,144,89,174
198,0,0,0.0,0,0.0,0,0,0
199,4,2,3.4490080428954424,5,4.68565386611313,1,0,1
200,526,295,422.27112691838056,679,663.8931130495903,86,77,132
201,0,0,0.0,0,0.0,0,0,0
202,108,55,91.20643431635389,121,118.01872340425531,18,15,21
203,31,4,29.5,8,8.220585585585585,0,4,0
204,0,0,0.0,0,0.0,0,0,0
205,0,0,0.0,0,0.0,0,0,0
206,0,0,0.0,0,0.0,0,0,0
207,44,2,37.913241343662925,4,3.5395880006264266,1,1,0
208,167,17,154.14978712797097,35,34.4893983828293,1,16,0
209,26,3,24.741935483870968,7,6.894684684684684,0,3,0
210,18,2,17.129032258064516,5,4.773243243243242,0,2,0
211,45,4,41.19889802022896,9,8.598404548189542,0,4,0
212,0,0,0.0,0,0.0,0,0,0
213,0,0,0.0,0,0.0,0,0,0
214,137,4,116.46818526595239,8,7.776285452881976,4,0,0
215,42,1,35.7055750450365,2,2.383970722781336,1,0,0
216,0,0,0.0,0,0.0,0,0,0
217,22,1,18.702920261685783,1,1.2487465690759378,1,0,0
218,1,0,0.8501327391675356,0,0.0567612076852699,0,0,0
219,0,0,0.0,0,0.0,0,0,0
220,16,0,13.60212382668057,0,0.9081793229643184,0,0,0
221,14,0,11.901858348345499,0,0.7946569075937786,0,0,0
222,308,9,261.84088366360095,18,17.482451967063128,9,0,0
223,0,0,0.0,0,0.0,0,0,0
224,284,9,241.43769792358012,16,16.12018298261665,9,0,0
225,69,2,58.65915900255996,4,3.916523330283623,2,0,0
226,0,0,0.0,0,0.0,0,0,0
227,0,0,0.0,0,0.0,0,0,0
228,3,1,2.4226371826371826,2,1.9294435612082668,0,0,1
229,128,36,103.36585312585312,84,82.32292527821939,18,5,13
230,997,284,805.1230903630903,655,641.2184101748807,143,42,98
231,93,26,75.10175266175266,61,59.81275039745627,13,4,9
232,202,26,192.22580645161293,55,53.566396396396385,0,26,0
233,67,10,57.46441947565543,21,20.31002749770852,4,2,3
234,564,81,483.7303370786517,175,170.9679926672777,34,20,27
235,47,7,40.31086142322097,15,14.247332722273143,3,2,2
236,188,27,161.24344569288388,58,56.98933088909257,11,7,9
237,114,16,97.7752808988764,35,34.55736021998167,7,4,5
238,0,0,0.0,0,0.0,0,0,0
239,96,15,81.99899344569289,33,32.73283734649284,5,4,6
240,5,1,4.288389513108614,2,1.515673693858845,0,0,1
241,338,82,281.1049157303371,201,196.8890047393365,6,18,58
242,95,23,79.02806828003457,56,55.11257392106698,2,5,16
243,117,20,99.5625,43,41.70584070796461,1,2,17
244,198,33,168.4903846153846,72,70.5791150442478,2,3,29
245,0,0,0.0,0,0.0,0,0,0
246,0,0,0.0,0,0.0,0,0,0
247,97,16,82.54326923076923,35,34.5766371681416,1,1,14
248,357,100,275.11944586779885,286,279.88443,24,32,44
249,633,178,488.05778908797083,506,494.9830805309735,42,57,79
250,0,0,0.0,0,0.0,0,0,0
251,313,88,223.24596617559163,181,176.9158094871795,28,11,49
252,78,26,54.09167315593029,57,55.93536000000001,11,3,12
253,214,65,150.7615458678144,138,135.09996923076923,24,8,33
254,274,60,201.96980226280755,106,103.31205128205129,5,11,44
255,46,12,33.29647598138295,23,22.10532102564103,3,2,7
256,5,1,3.685580333262912,2,1.8852564102564104,0,0,1
257,26,7,18.597787725805283,15,14.224226666666668,2,1,4
258,1,0,0.6934829891785934,0,0.7171200000000001,0,0,0
259,0,0,0.0,0,0.0,0,0,0
260,249,82,175.743734902881,187,182.9316219075038,36,9,37
261,7,2,4.854380924250154,5,5.01984,1,0,1
262,12,4,8.452695102565087,8,7.585233846153847,1,0,2
264,61,21,47.47081712062257,62,60.72984182776801,7,2,12
265,0,0,0.0,0,0.0,0,0,0
266,683,207,533.2000892820981,568,555.8712483502355,79,34,94
267,672,137,507.93758225230306,294,287.94181818181823,34,50,54
268,172,38,130.2911288995544,84,82.13590693666524,10,12,16
269,24,6,19.057985190372754,13,13.109943754956017,3,2,1
270,41,10,32.59894921190894,22,21.81455252918288,6,4,1
271,200,50,159.0192644483363,109,106.4124513618677,27,18,6
272,0,0,0.0,0,0.0,0,0,0
273,109,27,86.66549912434327,59,57.9947859922179,15,10,3
274,977,324,753.0420739013572,871,852.4440758293838,94,59,171
275,28,6,20.31128213079898,13,12.602955489861783,1,2,3
276,93,27,69.72732531279371,64,62.94763841313041,7,6,14
277,48,11,34.65183244277689,20,20.045412541254127,2,3,6
278,565,126,407.88094437851964,241,235.9512101210121,21,40,66
279,189,47,138.54242416911853,101,98.48947262498761,9,13,25
280,121,35,89.76835694905037,83,80.73970705725698,9,15,11
281,559,165,413.45092248472037,386,377.95191308180654,58,61,46
282,263,80,193.6322172828798,185,181.30135181975731,39,24,18
283,200,61,147.24883443565002,141,137.87175043327554,29,18,13
284,122,36,90.30145040918435,84,82.22424986211335,12,14,10
285,0,0,0.0,0,0.0,0,0,0
286,234,67,173.60161591799823,160,156.1412516644474,17,28,21
287,0,0,0.0,0,0.0,0,0,0
288,441,138,325.0372153789834,321,314.402308887502,68,40,31
289,127,70,113.63157894736842,166,162.50795081967217,70,0,0
290,1318,760,1021.8520831181944,1927,1885.5175799126016,520,99,140
291,218,122,165.6392780512432,308,301.35564941921854,76,12,34
