TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
241,338,82,201.96125459289638,201,196.8890047393365,6,18,58
242,95,23,56.849559388536036,56,55.11257392106698,2,5,16
243,117,20,79.88993362831857,43,41.70584070796461,1,2,17
244,198,33,135.19834921715452,72,70.5791150442478,2,3,29
245,0,0,0.0,0,0.0,0,0,0
246,0,0,0.0,0,0.0,0,0,0
247,97,16,66.23353471749489,35,34.5766371681416,1,1,14
248,357,100,178.01147368421056,286,279.88443,24,32,44
249,633,178,316.1863545734657,506,494.9830805309735,42,57,79
250,0,0,0.0,0,0.0,0,0,0
251,313,88,140.0627904626889,181,176.9158094871795,28,11,49
252,78,26,29.74633183856502,57,55.93536000000001,11,3,12
253,214,65,89.5492802459326,138,135.09996923076923,24,8,33
254,274,60,144.76923779994797,106,103.31205128205129,5,11,44
255,46,12,22.246441441203704,23,22.10532102564103,3,2,7
256,5,1,2.6417744124078095,2,1.8852564102564104,0,0,1
257,26,7,11.826335445354475,15,14.224226666666668,2,1,4
258,1,0,0.3813632286995515,0,0.7171200000000001,0,0,0
259,0,0,0.0,0,0.0,0,0,0
260,249,82,98.03545824276786,187,182.9316219075038,36,9,37
261,7,2,2.6695426008968606,5,5.01984,1,0,1
262,12,4,5.01733370574065,8,7.585233846153847,1,0,2
264,61,21,26.672926083715716,62,60.72984182776801,7,2,12
265,0,0,0.0,0,0.0,0,0,0
266,683,207,326.6548529619187,568,555.8712483502355,79,34,94
267,672,137,375.52053872053875,294,287.94181818181823,34,50,54
268,172,38,94.0926128781157,84,82.13590693666524,10,12,16
269,24,6,12.967190980183474,13,13.109943754956017,3,2,1
270,41,10,22.30906594342644,22,21.81455252918288,6,4,1
271,200,50,108.82471191915337,109,106.4124513618677,27,18,6
272,0,0,0.0,0,0.0,0,0,0
273,109,27,59.30946799593859,59,57.9947859922179,15,10,3
274,977,324,441.9450799627778,871,852.4440758293838,94,59,171
275,28,6,13.950303505882617,13,12.602955489861783,1,2,3
276,93,27,44.04466478236274,64,62.94763841313041,7,6,14
277,48,11,24.084194375854047,20,20.045412541254127,2,3,6
278,565,126,283.491037965782,241,235.9512101210121,21,40,66
279,189,47,92.70710293423205,101,98.48947262498761,9,13,25
280,121,35,55.55220652033848,83,80.73970705725698,9,15,11
281,559,165,253.2058465298554,386,377.95191308180654,58,61,46
282,263,80,116.71127872805366,185,181.30135181975731,39,24,18
283,200,61,88.75382412779746,141,137.87175043327554,29,18,13
284,122,36,55.443734771318326,84,82.22424986211335,12,14,10
285,0,0,0.0,0,0.0,0,0,0
286,234,67,107.43153988230748,160,156.1412516644474,17,28,21
287,0,0,0.0,0,0.0,0,0,0
