taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,rec_attractiveness
242,0,0,0,0,0.5984164146161688,0
243,0,0,0,11,0.6828199455411844,5980
244,0,0,0,0,0.6828199455411844,0
245,0,0,0,0,0.0,0
246,0,0,0,0,0.0,0
247,0,0,0,0,0.6828199455411844,0
248,0,0,0,0,0.4986315789473685,0
249,45,0,0,0,0.4995045095947325,422
250,0,0,0,92,0.0,0
251,0,0,0,0,0.4474849535549166,0
252,0,165,0,0,0.3813632286995515,0
253,0,0,0,0,0.41845458058847007,0
254,0,0,0,0,0.5283548824815619,5177
255,46,0,0,0,0.4836182922000805,8223
256,0,0,0,0,0.5283548824815619,560
257,110,0,0,0,0.4548590555905567,6376
258,0,0,0,0,0.3813632286995515,179
259,0,0,0,24,0.0,5236
260,0,0,0,0,0.39371669977015206,0
261,0,0,0,0,0.3813632286995515,0
262,0,0,0,0,0.4181111421450541,4319
263,0,0,0,0,0.0,0
264,0,0,0,0,0.4372610833396019,0
265,0,0,0,17,0.0,5135
266,0,0,0,0,0.47826479203794836,0
267,0,0,0,0,0.5588103254769922,0
268,0,0,0,0,0.5470500748727657,0
269,0,0,0,0,0.5402996241743114,0
270,0,0,0,0,0.5441235595957669,0
271,0,0,0,0,0.5441235595957669,0
272,0,0,0,0,0.0,0
273,21,0,0,0,0.5441235595957669,5198
274,0,0,0,0,0.45234910948083706,0
275,0,0,0,0,0.4982251252100935,0
276,8,0,0,0,0.47359854604691115,0
277,0,0,0,0,0.5017540494969593,4637
278,0,0,0,0,0.5017540494969593,0
279,0,0,0,0,0.49051377213879394,0
280,0,0,0,0,0.4591091447961858,0
281,297,51,0,0,0.45296215837183434,5449
282,55,0,0,0,0.44376912063898727,9984
283,0,0,0,0,0.44376912063898727,0
284,0,0,0,0,0.4544568423878551,0
285,0,0,0,0,0.0,307
286,0,0,0,0,0.4591091447961858,336
287,0,0,0,0,0.0,4304
288,0,0,0,0,0.43671534868019457,0
289,107,71,0,0,0.34555651423641065,10656
290,69,0,0,0,0.24729600193391135,0
291,0,0,0,0,0.23638822505048265,0
292,0,0,0,0,0.23638822505048268,0
300,9,0,1279,0,0.0,0
301,0,154,0,0,0.0,0
302,0,0,950,0,0.0,0
303,0,0,0,0,0.0972835758400502,0
304,64,0,0,0,0.0,0
305,0,0,0,0,0.0,329
306,0,0,0,0,0.0,544
307,0,0,0,0,0.0,394
308,0,0,0,0,0.09728357584005021,0
309,106,0,0,0,0.2472892798932428,0
310,65,604,0,0,0.2482508549192248,0
311,50,0,0,0,0.24006588195710088,0
312,0,0,0,0,0.09728357584005021,0
313,0,0,0,0,0.09728357584005021,0
314,0,0,0,0,0.09728357584005021,0
315,0,0,0,0,0.19373489302952288,0
316,0,0,0,0,0.2482508549192248,68
317,0,0,0,0,0.0,0
318,0,0,0,96,0.3645804914939182,845
319,110,0,0,0,0.3645804914939182,433
320,0,0,0,0,0.2915181025437653,0
321,0,0,0,0,0.3645804914939182,0
322,0,0,0,0,0.3645804914939182,0
323,0,0,0,0,0.3637716178737721,0
324,0,32,0,0,0.2898944939004286,9174
325,5,0,0,0,0.2898944939004286,0
326,0,0,0,215,0.0,0
327,0,0,0,0,0.0,0
328,0,0,0,0,0.0,0
329,0,0,0,0,0.3528196084785576,8270
330,0,0,0,0,0.3528196084785576,0
331,0,0,0,0,0.3528196084785576,0
332,0,0,0,0,0.3528196084785576,7513
333,0,0,0,0,0.3528196084785576,7481
334,0,0,0,0,0.3528196084785576,0
335,0,0,0,0,0.3528196084785576,0
336,0,0,0,0,0.3528196084785576,0
337,0,0,0,0,0.35281960847855764,0
338,0,0,0,0,0.0,0
339,0,0,0,0,0.0,0
340,6,0,0,0,0.3528196084785576,0
341,0,0,0,0,0.3528196084785576,0
342,0,0,0,0,0.3528196084785576,0
343,0,0,0,0,0.3528196084785576,0
344,0,0,0,0,0.0,7305
345,0,0,0,0,0.0,2565
346,0,0,0,0,0.0,0
347,0,0,0,0,0.0,0
348,0,0,0,0,0.0,0
349,0,0,0,0,0.0,2553
350,0,0,0,0,0.0,2643
351,0,0,0,0,0.0,0
352,0,0,0,0,0.0,0
353,0,0,0,0,0.0,0
354,0,0,0,0,0.2666242971818567,0
355,0,0,0,0,0.0,3501
356,0,0,0,0,0.0,0
357,0,0,0,0,0.0,0
358,0,0,0,0,0.3574884804446723,3359
359,0,0,0,0,0.26662429718185665,0
360,0,0,0,0,0.3964302732715933,0
361,38,0,0,0,0.3964302732715933,0
362,16,0,0,0,0.3893632564099494,0
363,0,0,48,0,0.0,709
364,0,60,416,0,0.3893632564099494,0
365,0,0,0,0,0.3893632564099494,0
366,0,0,0,0,0.26662429718185665,3187
367,0,0,0,0,0.26662429718185665,0
368,0,0,0,0,0.2666242971818567,0
369,21,0,0,0,0.30464500260157984,0
370,0,0,0,0,0.30755903841471377,5436
371,0,0,0,0,0.3828336093436765,3793
372,0,0,0,0,0.3828336093436765,0
373,0,93,0,0,0.3828336093436765,2707
374,0,0,0,0,0.20203034359660865,2669
375,0,0,0,0,0.43841365476710364,468
376,0,0,0,0,0.4384136547671037,0
377,0,0,0,0,0.2901721251347492,0
378,0,0,0,0,0.08263398364945294,0
379,0,0,0,0,0.08263398364945294,0
380,0,0,0,0,0.37531476333536945,0
381,0,0,0,0,0.37531476333536945,0
382,0,0,0,0,0.37531476333536945,0
383,0,0,0,0,0.37531476333536945,0
384,0,0,0,0,0.0,0
385,0,0,0,0,0.0,0
386,0,0,0,0,0.24892861202227787,3137
387,0,0,0,0,0.24829244370848655,0
388,0,0,0,0,0.5325705335039173,253
389,0,0,0,0,0.4040172335454989,7410
390,0,0,0,0,0.37531476333536945,0
391,0,0,0,0,0.24491020149731374,0
392,0,0,0,0,0.0,0
393,0,0,0,0,0.5325705335039173,0
394,0,0,0,0,0.5325705335039173,0
395,0,0,0,0,0.5325705335039173,0
396,19,0,10,0,0.5325705335039173,0
397,0,0,0,0,0.5325705335039173,0
